Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32253.00631,33251.89223,33450.75109,33195.46896,33411.101,34196.47215,35167.40976,35461.23235,34965.94229,34814.22002,35722.12311,35780.95583,35739.97292,36208.59594,36994.42721,37605.99045,38115.83495,38701.84354,38260.09108,36192.28842,37702.60259,37728.90498,38354.19276,39177.86123,39376.8845,39900.75492,40155.28071,41093.50063,41309.95609,41667.1791
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7924.173158,7634.963029,8253.885189,8164.687246,8164.826744,8333.852483,8248.907411,8318.488441,8403.646429,8536.906205,8741.730798,9035.130735,9377.659451,9558.469028,10105.45507,10577.29869,11002.23511,11399.98372,11662.8872,11650.36095,11315.50577,11016.00273,10687.08851,10413.17576,10283.25538,10145.83449,10039.50576,10010.39496,10022.76232,10071.38287
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13475.6399,11918.59137,11294.73658,10323.87012,9154.928193,8552.785645,8726.725019,9016.416013,8999.104219,9330.532288,10275.76187,11682.84179,12827.23108,13973.07868,15208.43924,16536.01541,18112.77988,19500.47894,19900.05629,19614.73532,20751.25724,21970.08525,22702.58019,23720.81746,24355.75612,24290.41763,24210.86296,24862.96612,25544.27977,26351.43864
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3209.91251,3150.237118,3025.797223,2942.363084,2928.586454,2967.578483,3001.868904,2931.409874,2944.299056,2930.014592,2867.746708,2896.05207,2833.969104,2839.09474,2903.91634,2992.340942,3099.35316,3221.253139,3140.61315,3156.437297,3329.854386,3439.344814,3501.794383,3611.827957,3709.159076,3824.759543,3952.745641,4046.208425,4203.802282,4329.87139
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2135.606915,2098.164531,2086.165347,2077.90343,2087.428349,2059.147634,2062.731797,2063.530528,2161.934183,2092.345716,2185.607026,2117.018196,2160.55641,2165.946473,2091.479162,2151.628067,2104.566704,2098.807043,2008.429171,1981.04396,1924.660093,1921.723959,1981.23769,2035.653415,1993.710913,2170.626557,2249.768675,2237.336409,2255.715579,2271.913438
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12703.7452,13934.35686,14645.11798,15494.13729,16760.74647,18188.2849,19437.388,20444.17274,19255.9943,21312.04357,23049.54834,23983.28702,25687.13962,26358.61168,27618.89233,28747.85465,30102.72024,31688.0382,32395.87047,32485.04625,34523.16451,35521.37143,36184.05796,37159.63479,38109.51662,38974.0041,39963.61047,41110.6448,42105.27993,42878.8173
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4715.503037,5983.397137,5937.421982,6288.218216,6448.098596,6832.485776,7083.034792,7538.314299,7949.560433,8169.49515,8372.375999,8663.941554,8828.032755,9076.373545,9214.396122,9723.561903,10179.96973,10530.48166,10895.28596,11367.74606
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63724.83042,63284.62208,61687.51531,59725.75446,55035.06525,54984.85448,53578.49529,54322.72532,63008.51543,68233.93027,73155.51756,75224.31806,75581.01051,73022.86335,63886.04738,58810.3002,60887.45937,61416.85078,58995.36527,56647.3059,54834.25119,54708.70268,50855.49996,50478.5941,49853.57645
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5158.317569,4671.522849,3978.909913,3362.829,2688.351778,2517.28445,2656.01772,2877.098569,2893.417534,2954.954123,3078.909251,3212.133546,3182.232894,3370.430199,3563.875362,3517.720509,3588.089918,3857.653908,4142.211454,4210.626347,4141.077205,4334.660788,4259.318203,4631.403267,4722.086003,4805.141092,4912.382483,5046.691535,5133.151914,5253.097478
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1964.572515,1992.477883,2046.653245,2111.550127,2227.939355,2330.15476,2438.901088,2555.348038,2608.043295,2750.088804,2861.272377,2977.798086,3106.009127,3245.185009,3399.344427,3584.319668,3830.396264,4052.839683,4296.490779,4542.179885,4850.177395,5158.833138,5489.037728,5841.880042,6193.346856,6543.666806,6896.129388,7257.807932,7592.819798,7826.388595
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Latvia,LVA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9536.646921,9892.485326,10877.19659,11676.47942,12094.58254,12904.37649,13898.64087,15056.9776,16485.50331,18083.252,20240.2291,22875.16469,25375.14308,24789.99963,21608.854,21091.02181,22867.97319,24137.80239,24961.34625,25468.05769,26706.26276,27590.98338,28741.47519,30131.97915,30982.17473
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7552.826947,10829.07197,11976.1937,12570.81931,12961.88616,13308.87616,14473.37522,14435.12813,14822.08876,14530.77551,14361.66808,14359.24615,14171.82956,13941.87628,14283.95971,14263.70887,14299.12437,15605.57362,17030.16169,18584.38364,19499.18461,18725.85743,18035.72641,17532.86372,16966.73988,16299.21525,16108.50408,16005.25704,15612.01218,14551.58522
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Lesotho,LSO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1284.248177,1343.135338,1404.532409,1421.954249,1475.338459,1493.973333,1548.480643,1578.289386,1578.91338,1568.980284,1619.30566,1674.559977,1691.592775,1778.786699,1820.079551,1892.435742,1978.608415,2077.383419,2217.158386,2261.506307,2273.932577,2385.894189,2532.630271,2621.070949,2676.974986,2727.120651,2842.698609,2783.115664,2748.543746,2704.415261
"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,Liberia,LBR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1699.015468,1686.195861,1708.692461,1173.306195,1181.546158,1212.069697,1265.867484,1333.422223,1370.908953,1387.328253,1420.046611,1488.278386,1561.30612,1652.18916,1621.34578,1580.478874,1516.355714,1515.64325,1497.004477,1427.81909
