"Country","ISOCode","Year","GDPPerCapita","FemaleUnemploymentRate","ElectricityPerCapita","PopulationInMillions","ChildrenPerWoman","ChildMortalityRate","LaborRate","LifeExpectancy","NumCode"
"Afghanistan","AFG","1970",NA,NA,NA,11.173642,7.45,300.3,NA,37.409,4
"Albania","ALB","1970",NA,NA,NA,2.135479,4.91,NA,NA,66.935,8
"Algeria","DZA","1970",NA,NA,NA,14.464985,7.643,240.2,NA,50.372,12
"American Samoa","ASM","1970",NA,NA,NA,0.027363,NA,NA,NA,NA,16
"Andorra","AND","1970",NA,NA,NA,0.024276,NA,NA,NA,NA,20
"Angola","AGO","1970",NA,NA,NA,5.890365,7.434,NA,NA,40.914,24
"Antigua and Barbuda","ATG","1970",NA,NA,NA,0.064177,3.683,31.8,NA,65.847,28
"Argentina","ARG","1970",NA,NA,NA,23.880561,3.079,71.8,NA,66.483,32
"Armenia","ARM","1970",NA,NA,NA,2.525068,3.199,NA,NA,70.144,51
"Aruba","ABW","1970",NA,NA,NA,0.059063,2.908,NA,NA,69.14,533
"Australia","AUS","1970",NA,NA,3609.978412,12.507,2.859,21.5,NA,71.01853659,36
"Austria","AUT","1970",NA,3.799999952,3019.116159,7.467086,2.29,29.1,NA,69.91463415,40
"Azerbaijan","AZE","1970",NA,NA,NA,5.180023,5.018,NA,NA,63.141,31
"Bahamas, The","BHS","1970",NA,NA,NA,0.169377,3.536,30.4,NA,65.87,44
"Bahrain","BHR","1970",NA,NA,NA,0.212605,6.501,75.9,NA,63.449,48
"Bangladesh","BGD","1970",NA,NA,NA,64.232482,6.947,222.8,NA,46.942,50
"Barbados","BRB","1970",NA,NA,NA,0.238896,3.113,47.9,NA,68.65,52
"Belarus","BLR","1970",NA,NA,NA,9.04,2.31,NA,NA,70.0792439,112
"Belgium","BEL","1970",NA,NA,3031.521046,9.655549,2.25,24,NA,70.97195122,56
"Belize","BLZ","1970",NA,NA,NA,0.122182,6.299,96.5,NA,65.566,84
"Benin","BEN","1970",NA,NA,NA,2.91234,6.748,262.2,NA,42.152,204
"Bermuda","BMU","1970",NA,NA,NA,0.055,NA,NA,NA,70.29,60
"Bhutan","BTN","1970",NA,NA,NA,0.297316,6.601,272,NA,39.635,64
"Bolivia","BOL","1970",NA,NA,NA,4.484004,6.004,227.3,NA,45.568,68
"Bosnia and Herzegovina","BIH","1970",NA,NA,NA,3.760529,2.929,NA,NA,66.187,70
"Botswana","BWA","1970",NA,NA,NA,0.627715,6.645,123.9,NA,53.824,72
"Brazil","BRA","1970",NA,NA,NA,95.113265,4.972,132.5,NA,58.911,76
"British Virgin Islands","VGB","1970",NA,NA,NA,0.009827,NA,NA,NA,NA,92
"Brunei Darussalam","BRN","1970",NA,NA,NA,0.129529,5.719,54,NA,62.582,96
"Bulgaria","BGR","1970",NA,NA,NA,8.489574,2.17,32.2,NA,71.25634146,100
"Burkina Faso","BFA","1970",NA,NA,NA,5.6246,6.623,314.2,NA,39.095,854
"Burundi","BDI","1970",NA,NA,NA,3.479074,7.249,248.1,NA,43.841,108
"Cabo Verde","CPV","1970",NA,NA,NA,0.268627,6.935,143.8,NA,53.298,132
"Cambodia","KHM","1970",NA,NA,NA,6.996576,6.465,NA,NA,41.566,116
"Cameroon","CMR","1970",NA,NA,NA,6.519762,6.203,210.1,NA,46.523,120
"Canada","CAN","1970",NA,4.5,8962.202213,21.324,2.258,22,NA,72.7004878,124
"Cayman Islands","CYM","1970",NA,NA,NA,0.009144,NA,NA,NA,NA,136
"Central African Republic","CAF","1970",NA,NA,NA,1.811144,5.958,223.3,NA,42.223,140
"Chad","TCD","1970",NA,NA,NA,3.643604,6.528,NA,NA,41.344,148
"Channel Islands","CHI","1970",NA,NA,NA,0.121197,2.121,NA,NA,71.823,NA
"Chile","CHL","1970",NA,NA,NA,9.783134,3.778,79.9,NA,62.254,152
"China","CHN","1970",NA,NA,NA,818.315,5.725,111.8,NA,59.085,156
"Colombia","COL","1970",NA,NA,NA,21.480064,5.276,97.7,NA,62.152,170
"Comoros","COM","1970",NA,NA,NA,0.230054,7.061,226.1,NA,45.642,174
"Congo, Dem. Rep.","COD","1970",NA,NA,NA,20.011036,6.215,247.7,NA,43.915,180
"Congo, Rep.","COG","1970",NA,NA,NA,1.326885,6.267,141.1,NA,50.725,178
"Costa Rica","CRI","1970",NA,NA,NA,1.847394,4.595,74.8,NA,65.844,188
"Cote d'Ivoire","CIV","1970",NA,NA,NA,5.102064,7.936,243.5,NA,44.123,384
"Croatia","HRV","1970",NA,NA,NA,4.412252,1.979,NA,NA,68.2004878,191
"Cuba","CUB","1970",NA,NA,NA,8.712541,3.935,36.7,NA,69.809,192
"Curacao","CUW","1970",NA,NA,NA,0.144739,NA,NA,NA,NA,531
"Cyprus","CYP","1970",NA,NA,NA,0.613618,2.61,NA,NA,72.576,196
"Czech Republic","CZE","1970",NA,NA,NA,9.858071,1.92,NA,NA,69.4402439,203
"Denmark","DNK","1970",NA,NA,2893.224397,4.928757,1.95,16.6,NA,73.34341463,208
"Djibouti","DJI","1970",NA,NA,NA,0.159659,6.804,NA,NA,49.16,262
"Dominica","DMA","1970",NA,NA,NA,0.071073,NA,54.5,NA,NA,212
"Dominican Republic","DOM","1970",NA,NA,NA,4.49972,6.182,123.5,NA,58.093,214
"Ecuador","ECU","1970",NA,NA,NA,6.069376,6.138,137,NA,58.203,218
"Egypt, Arab Rep.","EGY","1970",NA,NA,NA,34.51385,6.233,245.1,NA,52.146,818
"El Salvador","SLV","1970",NA,NA,NA,3.673068,6.172,150.3,NA,54.998,222
"Equatorial Guinea","GNQ","1970",NA,NA,NA,0.303982,5.808,NA,NA,39.848,226
"Eritrea","ERI","1970",NA,NA,NA,1.310945,6.65,NA,NA,43.156,232
"Estonia","EST","1970",NA,NA,NA,1.360076,2.17,NA,NA,69.93709756,233
"Eswatini","SWZ","1970",NA,NA,NA,0.431253,6.871,169.4,NA,48.128,748
"Ethiopia","ETH","1970",NA,NA,NA,28.415077,6.978,244.8,NA,42.944,231
"Faroe Islands","FRO","1970",NA,NA,NA,0.039009,3.4,NA,NA,NA,234
"Fiji","FJI","1970",NA,NA,NA,0.520562,4.543,57.6,NA,62.492,242
"Finland","FIN","1970",NA,1.039999962,4570.906802,4.606307,1.83,16.1,NA,70.1795122,246
"France","FRA","1970",NA,NA,2626.923443,51.957738,2.55,18.2,NA,71.65853659,250
"French Polynesia","PYF","1970",NA,NA,NA,0.110495,5.057,NA,NA,60.183,258
"Gabon","GAB","1970",NA,NA,NA,0.589314,5.081,NA,NA,47.125,266
"Gambia, The","GMB","1970",NA,NA,NA,0.46441,6.185,297.5,NA,37.868,270
"Georgia","GEO","1970",NA,NA,NA,4.1199,2.707,NA,NA,67.452,268
"Germany","DEU","1970",NA,NA,3834.178407,78.169289,2.03,25.7,NA,70.63978049,276
"Ghana","GHA","1970",NA,NA,NA,8.735495,6.95,202.3,NA,49.34,288
"Gibraltar","GIB","1970",NA,NA,NA,0.028606,NA,NA,NA,NA,292
"Greece","GRC","1970",NA,NA,1023.791495,8.792806,2.4,31.2,NA,70.90363415,300
"Greenland","GRL","1970",NA,NA,NA,0.0464,NA,NA,NA,NA,304
"Grenada","GRD","1970",NA,NA,NA,0.094475,4.604,56.1,NA,65.619,308
"Guam","GUM","1970",NA,NA,NA,0.083877,4.372,NA,NA,65.662,316
"Guatemala","GTM","1970",NA,NA,NA,5.455197,6.642,170.3,NA,52.501,320
"Guinea","GIN","1970",NA,NA,NA,4.154605,6.243,317.6,NA,36.655,324
"Guinea-Bissau","GNB","1970",NA,NA,NA,0.704939,6.041,NA,NA,40.649,624
"Guyana","GUY","1970",NA,NA,NA,0.704934,5.38,73.7,NA,61.789,328
"Haiti","HTI","1970",NA,NA,NA,4.67623,5.762,241,NA,46.027,332
"Honduras","HND","1970",NA,NA,NA,2.716654,7.27,145.8,NA,52.522,340
"Hong Kong SAR, China","HKG","1970",NA,NA,NA,3.959,3.284,NA,NA,71.3865122,344
"Hungary","HUN","1970",NA,NA,1588.618976,10.33791,1.98,38.7,NA,69.16463415,348
"Iceland","ISL","1970",NA,NA,6471.399642,0.204438,2.81,16,NA,73.93390244,352
"India","IND","1970",NA,NA,NA,555.189792,5.587,213,NA,47.737,356
"Indonesia","IDN","1970",NA,NA,NA,114.793178,5.474,166,NA,52.553,360
"Iran, Islamic Rep.","IRN","1970",NA,NA,NA,28.513866,6.44,NA,NA,50.855,364
"Iraq","IRQ","1970",NA,NA,NA,9.917983,7.362,113.4,NA,58.201,368
"Ireland","IRL","1970",NA,NA,1750.951052,2.95725,3.85,22.2,NA,71.03143902,372
"Isle of Man","IMN","1970",NA,NA,NA,0.055425,NA,NA,NA,NA,833
"Israel","ISR","1970",NA,NA,NA,2.974,3.778,28.6,NA,71.21341463,376
"Italy","ITA","1970",NA,9.630000114,2072.912767,53.82185,2.38,33.5,NA,71.55878049,380
"Jamaica","JAM","1970",NA,NA,NA,1.875642,5.477,57.1,NA,67.917,388
"Japan","JPN","1970",NA,1,3222.003929,104.345,2.135,17.5,NA,71.9502439,392
"Jordan","JOR","1970",NA,NA,NA,1.721323,7.926,89.5,NA,60.171,400
"Kazakhstan","KAZ","1970",NA,NA,NA,13.036139,3.611,NA,NA,62.27939024,398
"Kenya","KEN","1970",NA,NA,NA,11.301394,8.081,150.8,NA,52.557,404
"Kiribati","KIR","1970",NA,NA,NA,0.051151,5.457,139.1,NA,52.323,296
"Korea, Dem. People’s Rep.","PRK","1970",NA,NA,NA,14.4104,4.315,NA,NA,NA,408
"Korea, Rep.","KOR","1970",NA,2.900000095,NA,32.240827,4.53,61.2,NA,62.16341463,410
"Kosovo","XKX","1970",NA,NA,NA,1.219,NA,NA,NA,NA,NA
"Kuwait","KWT","1970",NA,NA,NA,0.74445,7.169,70,NA,65.715,414
"Kyrgyz Republic","KGZ","1970",NA,NA,NA,2.9599,5.177,NA,NA,60.24490244,417
"Lao PDR","LAO","1970",NA,NA,NA,2.688428,5.974,NA,NA,46.273,418
"Latvia","LVA","1970",NA,NA,NA,2.359164,1.96,NA,NA,69.83536585,428
"Lebanon","LBN","1970",NA,NA,NA,2.297434,4.948,61.2,NA,66.067,422
"Lesotho","LSO","1970",NA,NA,NA,1.028926,5.808,178.4,NA,50.584,426
"Liberia","LBR","1970",NA,NA,NA,1.40073,6.695,284,NA,39.338,430
"Libya","LBY","1970",NA,NA,NA,2.133526,8.132,135.9,NA,56.052,434
"Liechtenstein","LIE","1970",NA,NA,NA,0.021266,NA,NA,NA,NA,438
"Lithuania","LTU","1970",NA,NA,NA,3.139689,2.4,22.7,NA,70.80439024,440
"Luxembourg","LUX","1970",NA,NA,10649.49539,0.339171,1.97,22.3,NA,69.98346341,442
"Macao SAR, China","MAC","1970",NA,NA,NA,0.246194,2.167,NA,NA,69.36,446
"Madagascar","MDG","1970",NA,NA,NA,6.576305,7.27,149.6,NA,44.771,450
"Malawi","MWI","1970",NA,NA,NA,4.703782,7.303,341.3,NA,39.756,454
"Malaysia","MYS","1970",NA,NA,NA,10.804131,5.014,53.3,NA,64.595,458
"Maldives","MDV","1970",NA,NA,NA,0.115691,7.227,257.6,NA,44.142,462
"Mali","MLI","1970",NA,NA,NA,5.949045,7.133,375.8,NA,32.388,466
"Malta","MLT","1970",NA,NA,NA,0.30265,2.03,27.9,NA,71.30529268,470
"Marshall Islands","MHL","1970",NA,NA,NA,0.020395,NA,79.4,NA,NA,584
"Mauritania","MRT","1970",NA,NA,NA,1.14678,6.784,192.6,NA,50.404,478
"Mauritius","MUS","1970",NA,NA,NA,0.826,3.952,78.4,NA,63.11804878,480
"Mexico","MEX","1970",NA,NA,NA,51.493565,6.611,106.7,NA,61.362,484
"Micronesia, Fed. Sts.","FSM","1970",NA,NA,NA,0.061417,6.938,NA,NA,58.851,583
"Moldova","MDA","1970",NA,NA,NA,2.445328,2.582,NA,NA,65.045,498
"Monaco","MCO","1970",NA,NA,NA,0.023484,NA,NA,NA,NA,492
"Mongolia","MNG","1970",NA,NA,NA,1.278825,7.569,NA,NA,55.364,496
"Montenegro","MNE","1970",NA,NA,NA,0.512407,2.737,NA,NA,69.929,499
"Morocco","MAR","1970",NA,NA,NA,16.004731,6.646,187.5,NA,52.572,504
"Mozambique","MOZ","1970",NA,NA,NA,9.022741,6.716,275.8,NA,41.343,508
"Myanmar","MMR","1970",NA,NA,NA,27.269069,5.964,173.8,NA,48.796,104
"Namibia","NAM","1970",NA,NA,NA,0.817469,6.469,96,NA,52.669,516
"Nauru","NRU","1970",NA,NA,NA,0.006552,NA,NA,NA,NA,520
"Nepal","NPL","1970",NA,NA,NA,12.074626,5.918,264.6,NA,40.881,524
"Netherlands","NLD","1970",NA,NA,2948.339406,13.038526,2.57,15.8,NA,73.58560976,528
"New Caledonia","NCL","1970",NA,NA,NA,0.112,4.3,NA,NA,63.02926829,540
"New Zealand","NZL","1970",NA,NA,4271.533782,2.8107,3.158,20.8,NA,71.27317073,554
"Nicaragua","NIC","1970",NA,NA,NA,2.406513,6.862,170,NA,53.519,558
"Niger","NER","1970",NA,NA,NA,4.510644,7.567,325.7,NA,35.883,562
"Nigeria","NGA","1970",NA,NA,NA,55.982144,6.471,281.4,NA,40.971,566
"North Macedonia","MKD","1970",NA,NA,NA,1.7208,3.158,NA,NA,66.301,807
"Northern Mariana Islands","MNP","1970",NA,NA,NA,0.012994,NA,NA,NA,NA,580
"Norway","NOR","1970",NA,NA,13454.12503,3.875763,2.5,16.2,NA,74.08804878,578
"Oman","OMN","1970",NA,NA,NA,0.723851,7.311,229,NA,50.31,512
"Pakistan","PAK","1970",NA,NA,NA,58.14206,6.601,190,NA,52.649,586
"Palau","PLW","1970",NA,NA,NA,0.011811,NA,NA,NA,NA,585
"Panama","PAN","1970",NA,NA,NA,1.519285,5.173,65.9,NA,65.532,591
"Papua New Guinea","PNG","1970",NA,NA,NA,2.783121,6.163,142.4,NA,45.916,598
"Paraguay","PRY","1970",NA,NA,NA,2.474763,5.739,77.7,NA,65.368,600
"Peru","PER","1970",NA,NA,NA,13.459794,6.316,165.6,NA,54.174,604
"Philippines","PHL","1970",NA,NA,NA,35.803594,6.264,83.8,NA,63.155,608
"Poland","POL","1970",NA,NA,1806.834985,32.6643,2.2,36.2,NA,69.86829268,616
"Portugal","PRT","1970",NA,NA,763.9021611,8.680431,3.01,68.6,NA,67.07317073,620
"Puerto Rico","PRI","1970",NA,NA,NA,2.718,3.146,NA,NA,71.53553659,630
"Qatar","QAT","1970",NA,NA,NA,0.109514,6.91,65.9,NA,68.156,634
"Romania","ROU","1970",NA,NA,NA,20.250398,2.89,55.2,NA,68.05641463,642
"Russian Federation","RUS","1970",NA,NA,NA,130.404,1.99,38.2,NA,68.13365854,643
"Rwanda","RWA","1970",NA,NA,NA,3.757358,8.231,221.3,NA,44.696,646
"Samoa","WSM","1970",NA,NA,NA,0.143149,7.194,72,NA,59.919,882
"San Marino","SMR","1970",NA,NA,NA,0.019221,NA,NA,NA,NA,674
"Sao Tome and Principe","STP","1970",NA,NA,NA,0.074564,6.468,86.2,NA,55.358,678
"Saudi Arabia","SAU","1970",NA,NA,NA,5.836389,7.28,NA,NA,52.703,682
"Senegal","SEN","1970",NA,NA,NA,4.257505,7.262,287.9,NA,39.227,686
"Serbia","SRB","1970",NA,NA,NA,NA,NA,NA,NA,NA,688
"Seychelles","SYC","1970",NA,NA,NA,0.0536,NA,75.4,NA,NA,690
"Sierra Leone","SLE","1970",NA,NA,NA,2.744891,6.496,332.9,NA,36.098,694
"Singapore","SGP","1970",NA,NA,NA,2.074507,3.07,27.1,NA,68.27941463,702
"Sint Maarten (Dutch part)","SXM","1970",NA,NA,NA,NA,NA,NA,NA,NA,534
"Slovak Republic","SVK","1970",NA,NA,NA,4.538223,2.41,NA,NA,70.1342439,703
"Slovenia","SVN","1970",NA,NA,NA,1.724891,2.231,NA,NA,68.6097561,705
"Solomon Islands","SLB","1970",NA,NA,NA,0.16025,6.914,104.8,NA,56.203,90
"Somalia","SOM","1970",NA,NA,NA,3.444568,7.182,NA,NA,40.957,706
"South Africa","ZAF","1970",NA,NA,NA,22.069776,5.669,NA,NA,52.62,710
"South Sudan","SSD","1970",NA,NA,NA,3.494004,6.881,NA,NA,35.807,728
"Spain","ESP","1970",NA,NA,1415.841018,33.814531,2.84,NA,NA,72.02731707,724
"Sri Lanka","LKA","1970",NA,NA,NA,12.48574,4.342,70.1,NA,64.097,144
"St. Kitts and Nevis","KNA","1970",NA,NA,NA,0.044878,NA,NA,NA,NA,659
"St. Lucia","LCA","1970",NA,NA,NA,0.104015,6.101,74.1,NA,63.667,662
"St. Martin (French part)","MAF","1970",NA,NA,NA,0.005712,NA,NA,NA,NA,663
"St. Vincent and the Grenadines","VCT","1970",NA,NA,NA,0.090509,6.014,75.1,NA,63.691,670
"Sudan","SDN","1970",NA,NA,NA,10.2817,6.888,155.8,NA,52.234,729
"Suriname","SUR","1970",NA,NA,NA,0.367926,5.653,NA,NA,62.911,740
"Sweden","SWE","1970",NA,1.75,7315.983573,8.042801,1.92,13.4,NA,74.64926829,752
"Switzerland","CHE","1970",NA,NA,4306.508607,6.180877,2.1,18.4,NA,73.0202439,756
"Syrian Arab Republic","SYR","1970",NA,5.800000191,NA,6.350541,7.572,104.1,NA,58.814,760
"Tajikistan","TJK","1970",NA,NA,NA,2.930107,7.003,NA,NA,54.007,762
"Tanzania","TZA","1970",NA,NA,NA,13.535481,6.771,212.9,NA,46.784,834
"Thailand","THA","1970",NA,NA,NA,36.884536,5.595,98.5,NA,59.385,764
"Timor-Leste","TLS","1970",NA,NA,NA,0.571565,5.655,NA,NA,39.529,626
"Togo","TGO","1970",NA,NA,NA,2.115522,7.084,222.3,NA,46.568,768
"Tonga","TON","1970",NA,NA,NA,0.084351,5.941,49.3,NA,64,776
"Trinidad and Tobago","TTO","1970",NA,NA,NA,0.94536,3.554,51.4,NA,64.7,780
"Tunisia","TUN","1970",NA,NA,NA,5.063809,6.705,179,NA,51.145,788
"Turkey","TUR","1970",NA,NA,222.3859564,34.876303,5.619,187.6,NA,52.286,792
"Turkmenistan","TKM","1970",NA,NA,NA,2.195175,6.404,NA,NA,58.472,795
"Turks and Caicos Islands","TCA","1970",NA,NA,NA,0.005841,NA,NA,NA,NA,796
"Tuvalu","TUV","1970",NA,NA,NA,0.005735,NA,NA,NA,NA,798
"Uganda","UGA","1970",NA,NA,NA,9.4056,7.115,191,NA,49.251,800
"Ukraine","UKR","1970",NA,NA,NA,47.088857,2.09,NA,NA,70.23521951,804
"United Arab Emirates","ARE","1970",NA,NA,NA,0.234514,6.655,97.2,NA,61.215,784
"United Kingdom","GBR","1970",NA,NA,4166.932402,55.66325,2.44,21,NA,71.97317073,826
"United States","USA","1970",NA,5.900000095,7236.657043,205.052,2.48,23.2,NA,70.80731707,840
"Uruguay","URY","1970",NA,9.600000381,NA,2.809793,2.902,53.9,NA,68.616,858
"Uzbekistan","UZB","1970",NA,NA,NA,12.080317,6.326,NA,NA,62.392,860
"Vanuatu","VUT","1970",NA,NA,NA,0.085377,6.272,108.2,NA,54.451,548
"Venezuela, RB","VEN","1970",NA,NA,NA,11.396393,5.321,62.2,NA,64.935,862
"Vietnam","VNM","1970",NA,NA,NA,43.404793,6.465,82.1,NA,59.563,704
"Virgin Islands (U.S.)","VIR","1970",NA,NA,NA,0.063476,5.167,NA,NA,69.05119512,850
"West Bank and Gaza","PSE","1970",NA,NA,NA,NA,NA,NA,NA,NA,275
"Yemen, Rep.","YEM","1970",NA,NA,NA,6.193384,8.386,326.7,NA,36.82,887
"Zambia","ZMB","1970",NA,NA,NA,4.179067,7.367,179.9,NA,50.114,894
"Zimbabwe","ZWE","1970",NA,NA,NA,5.289303,7.419,114.6,NA,56.913,716
"Arab World","ARB","1970",NA,NA,NA,121.78565,6.924981492,NA,NA,52.26421043,NA
"Caribbean small states","CSS","1970",NA,NA,NA,4.893444,4.863467889,NA,NA,65.64881148,NA
"Central Europe and the Baltics","CEB","1970",NA,NA,NA,99.134548,2.288901388,NA,NA,69.44695506,NA
"Early-demographic dividend","EAR","1970",NA,NA,NA,1246.947677,5.902234347,NA,NA,50.74937106,NA
"East Asia & Pacific","EAS","1970",NA,NA,NA,1290.384064,5.263827541,NA,NA,59.73985058,NA
"East Asia & Pacific (excluding high income)","EAP","1970",NA,NA,NA,1117.162966,5.724202785,NA,NA,58.19554176,NA
"East Asia & Pacific (IDA & IBRD countries)","TEA","1970",NA,NA,NA,1102.743566,5.74555644,NA,NA,58.17645606,NA
"Euro area","EMU","1970",NA,NA,2676.11259,287.338845,2.393220288,NA,NA,71.15815158,NA
"Europe & Central Asia","ECS","1970",NA,NA,NA,737.524802,2.562601067,NA,NA,68.96923607,NA
"Europe & Central Asia (excluding high income)","ECA","1970",NA,NA,NA,293.690906,2.847696465,NA,NA,65.73597003,NA
"Europe & Central Asia (IDA & IBRD countries)","TEC","1970",NA,NA,NA,351.017856,2.776631387,NA,NA,66.29847971,NA
"European Union","EUU","1970",NA,NA,2672.319081,386.322908,2.354224895,NA,NA,70.85825949,NA
"Fragile and conflict affected situations","FCS","1970",NA,NA,NA,233.470596,6.572849879,NA,NA,45.58908274,NA
"Heavily indebted poor countries (HIPC)","HPC","1970",NA,NA,NA,207.714294,6.857081045,NA,NA,43.85300928,NA
"High income","HIC","1970",NA,NA,4398.475182,874.094269,2.545350037,NA,NA,70.48630594,NA
"IBRD only","IBD","1970",NA,NA,NA,2369.907006,5.194671672,NA,NA,56.97620187,NA
"IDA & IBRD total","IBT","1970",NA,NA,NA,2859.057995,5.454403979,NA,NA,55.13714406,NA
"IDA blend","IDB","1970",NA,NA,NA,155.145812,6.616571176,NA,NA,48.94363342,NA
"IDA only","IDX","1970",NA,NA,NA,334.005177,6.798364216,NA,NA,44.96494285,NA
"IDA total","IDA","1970",NA,NA,NA,489.150989,6.741435692,NA,NA,46.22970383,NA
"Late-demographic dividend","LTE","1970",NA,NA,NA,1339.320328,4.965136363,NA,NA,60.76992112,NA
"Latin America & Caribbean","LCN","1970",NA,NA,NA,285.86056,5.213539676,NA,NA,60.43544792,NA
"Latin America & Caribbean (excluding high income)","LAC","1970",NA,NA,NA,267.269858,5.329317014,NA,NA,60.10980007,NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1970",NA,NA,NA,273.723944,5.279906999,NA,NA,60.01228258,NA
"Least developed countries: UN classification","LDC","1970",NA,NA,NA,306.916896,6.783762832,NA,NA,44.05901083,NA
"Low & middle income","LMY","1970",NA,NA,NA,2808.816759,5.524539055,NA,NA,54.8703687,NA
"Low income","LIC","1970",NA,NA,NA,182.760628,6.715107716,NA,NA,44.33379157,NA
"Lower middle income","LMC","1970",NA,NA,NA,1099.849866,5.815032087,NA,NA,50.17031064,NA
"Middle East & North Africa","MEA","1970",NA,NA,NA,138.473064,6.734328842,NA,NA,52.73254316,NA
"Middle East & North Africa (excluding high income)","MNA","1970",NA,NA,NA,127.335091,6.793233905,NA,NA,52.14921087,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN","1970",NA,NA,NA,127.335091,6.793233905,NA,NA,52.14921087,NA
"Middle income","MIC","1970",NA,NA,NA,2626.056131,5.440094544,NA,NA,55.60599219,NA
"North America","NAC","1970",NA,NA,7399.198678,226.431,2.458482587,NA,NA,70.9854796,NA
"Not classified","INX","1970",NA,NA,NA,NA,NA,NA,NA,NA,NA
"OECD members","OED","1970",NA,NA,4210.813805,917.065337,2.842568526,NA,NA,69.34389509,NA
"Other small states","OSS","1970",NA,NA,NA,11.029142,4.902423541,NA,NA,55.25802428,NA
"Pacific island small states","PSS","1970",NA,NA,NA,1.15075,5.591908729,NA,NA,60.07011829,NA
"Post-demographic dividend","PST","1970",NA,NA,4528.980199,840.763997,2.438672805,NA,NA,70.83501713,NA
"Pre-demographic dividend","PRE","1970",NA,NA,NA,239.204902,6.84483223,NA,NA,43.5468981,NA
"Small states","SST","1970",NA,NA,NA,17.073336,4.936325259,NA,NA,58.52198473,NA
"South Asia","SAS","1970",NA,NA,NA,713.711349,5.794839488,NA,NA,48.07016818,NA
"South Asia (IDA & IBRD)","TSA","1970",NA,NA,NA,713.711349,5.794839488,NA,NA,48.07016818,NA
"Sub-Saharan Africa","SSF","1970",NA,NA,NA,290.526189,6.743426268,NA,NA,44.50798524,NA
"Sub-Saharan Africa (excluding high income)","SSA","1970",NA,NA,NA,289.646589,6.751592336,NA,NA,44.45491397,NA
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","1970",NA,NA,NA,290.526189,6.743426268,NA,NA,44.50798524,NA
"Upper middle income","UMC","1970",NA,NA,NA,1526.206265,5.17051403,NA,NA,59.54463784,NA
"World","WLD","1970",NA,NA,NA,3682.911028,4.777740906,NA,NA,58.5831862,NA
"Afghanistan","AFG","1971",NA,NA,NA,11.475445,7.45,294.8,NA,37.93,4
"Albania","ALB","1971",NA,NA,532.0284315,2.187853,4.775,NA,NA,67.237,8
"Algeria","DZA","1971",NA,NA,133.8734892,14.87225,7.624,235.2,NA,50.773,12
"American Samoa","ASM","1971",NA,NA,NA,0.027984,NA,NA,NA,NA,16
"Andorra","AND","1971",NA,NA,NA,0.025559,NA,NA,NA,NA,20
"Angola","AGO","1971",NA,NA,92.04113974,6.040777,7.467,NA,NA,41.282,24
"Antigua and Barbuda","ATG","1971",NA,NA,NA,0.064357,3.516,29.1,NA,66.066,28
"Argentina","ARG","1971",NA,NA,874.4593523,24.259561,3.109,70.8,NA,66.774,32
"Armenia","ARM","1971",NA,NA,NA,2.587708,3.114,NA,NA,70.412,51
"Aruba","ABW","1971",NA,NA,NA,0.05944,2.788,NA,NA,69.498,533
"Australia","AUS","1971",NA,NA,3751.642576,12.937,2.961,21,NA,71.06829268,36
"Austria","AUT","1971",NA,2.400000095,3213.126836,7.500482,2.2,28.7,NA,70.11463415,40
"Azerbaijan","AZE","1971",NA,NA,NA,5.284531,4.85,NA,NA,63.31,31
"Bahamas, The","BHS","1971",NA,NA,NA,0.173889,3.508,30.9,NA,66.031,44
"Bahrain","BHR","1971",NA,NA,1951.777479,0.220312,6.297,68.5,NA,64.275,48
"Bangladesh","BGD","1971",NA,NA,10.83446219,65.531633,6.942,221.9,NA,46.589,50
"Barbados","BRB","1971",NA,NA,NA,0.240094,2.949,45.5,NA,68.89,52
"Belarus","BLR","1971",NA,NA,NA,9.115576,2.31,NA,NA,70.093,112
"Belgium","BEL","1971",NA,2.700000048,3217.045264,9.673162,2.21,23.1,NA,71.0604878,56
"Belize","BLZ","1971",NA,NA,NA,0.124793,6.288,92.3,NA,66.047,84
"Benin","BEN","1971",NA,NA,10.75062186,2.976572,6.786,257.9,NA,42.684,204
"Bermuda","BMU","1971",NA,NA,NA,0.0546,NA,NA,NA,NA,60
"Bhutan","BTN","1971",NA,NA,NA,0.306955,6.604,263.7,NA,40.194,64
"Bolivia","BOL","1971",NA,NA,165.8758463,4.58174,5.964,221.2,NA,45.999,68
"Bosnia and Herzegovina","BIH","1971",NA,NA,NA,3.805287,2.844,NA,NA,66.756,70
"Botswana","BWA","1971",NA,NA,NA,0.646347,6.615,119.3,NA,54.327,72
"Brazil","BRA","1971",NA,NA,459.8856907,97.48292,4.836,129.1,NA,59.332,76
"British Virgin Islands","VGB","1971",NA,NA,NA,0.010017,NA,NA,NA,NA,92
"Brunei Darussalam","BRN","1971",NA,NA,1754.243722,0.135671,5.619,50,NA,63.134,96
"Bulgaria","BGR","1971",NA,NA,2292.653983,8.536395,2.1,30.9,NA,70.87365854,100
"Burkina Faso","BFA","1971",NA,NA,NA,5.723381,6.657,311.3,NA,39.542,854
"Burundi","BDI","1971",NA,NA,NA,3.529997,7.258,248.7,NA,44.021,108
